127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000443
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.000429
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000352
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.000863
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000340
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.000486
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000396
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000462
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000482
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000454
127.0.0.1, 2014-11-18 22:23:55, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000497
127.0.0.1, 2014-11-18 22:23:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000495
127.0.0.1, 2014-11-18 22:23:58, POST, /admin/default/index, HTTP/1.1, 303, 0.032794
127.0.0.1, 2014-11-18 22:23:58, GET, /admin/default/site, HTTP/1.1, 200, 0.045851
127.0.0.1, 2014-11-18 22:23:58, GET, /admin/static/_2.9.11/images/folder.png, HTTP/1.1, 200, 0.000686
127.0.0.1, 2014-11-18 22:23:58, GET, /admin/static/_2.9.11/images/folder_locked.png, HTTP/1.1, 200, 0.001191
127.0.0.1, 2014-11-18 22:23:58, GET, /admin/static/_2.9.11/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000414
127.0.0.1, 2014-11-18 22:23:59, POST, /admin/default/check_version, HTTP/1.1, 200, 0.605284
127.0.0.1, 2014-11-18 22:23:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2014-11-18 22:23:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
127.0.0.1, 2014-11-18 22:23:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2014-11-18 22:24:02, GET, /admin/default/design/inventory, HTTP/1.1, 200, 0.089919
127.0.0.1, 2014-11-18 22:24:02, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000372
127.0.0.1, 2014-11-18 22:24:02, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000420
127.0.0.1, 2014-11-18 22:24:02, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001916
127.0.0.1, 2014-11-18 22:24:02, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000365
127.0.0.1, 2014-11-18 22:24:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000229
127.0.0.1, 2014-11-18 22:24:04, GET, /admin/default/peek/inventory/models/db.py, HTTP/1.1, 200, 0.038945
127.0.0.1, 2014-11-18 22:24:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2014-11-18 22:33:30, GET, /admin/default/design/inventory, HTTP/1.1, 200, 0.094335
127.0.0.1, 2014-11-18 22:33:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000339
127.0.0.1, 2014-11-18 22:33:32, GET, /inventory/appadmin/index, HTTP/1.1, 500, 0.023945
127.0.0.1, 2014-11-18 22:33:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000215
127.0.0.1, 2014-11-18 22:33:35, GET, /admin/default/ticket/inventory/127.0.0.1.2014-11-18.22-33-32.c9e439a0-f203-4567-a436-5f79d71c9c17, HTTP/1.1, 200, 0.060509
127.0.0.1, 2014-11-18 22:33:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/default/ticket/inventory/127.0.0.1.2014-11-18.22-33-32.c9e439a0-f203-4567-a436-5f79d71c9c17, HTTP/1.1, 200, 0.047017
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001522
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 304, 0.001212
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 304, 0.002565
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 304, 0.001780
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001100
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 304, 0.002758
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000971
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 304, 0.000542
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000563
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000341
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000345
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000302
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002996
127.0.0.1, 2014-11-18 22:33:49, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000537
127.0.0.1, 2014-11-18 22:33:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000398
